instrument_key,company_key,market,exchange,currency,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,qfq_change,qfq_pct_chg
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180102,13.5,13.7,12.54,12.62,12.62,0.0,0.0,117161315.0,,1.0,13.5,13.7,12.54,12.62,12.62,0.0,0.0
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180103,12.72,12.9,12.46,12.52,12.62,-0.1,-0.7924,68835533.0,,1.0,12.72,12.9,12.46,12.52,12.62,-0.1,-0.7924
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180104,12.68,13.22,12.68,12.76,12.52,0.24,1.9169,73912266.0,,1.0,12.68,13.22,12.68,12.76,12.52,0.24,1.9169
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180105,12.72,13.08,12.28,12.46,12.76,-0.3,-2.3511,55722714.0,,1.0,12.72,13.08,12.28,12.46,12.76,-0.3,-2.3511
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180108,12.4,12.48,12.18,12.36,12.46,-0.1,-0.8026,35346121.0,,1.0,12.4,12.48,12.18,12.36,12.46,-0.1,-0.8026
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180109,12.48,12.84,12.4,12.64,12.36,0.28,2.2654,45090982.0,,1.0,12.48,12.84,12.4,12.64,12.36,0.28,2.2654
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180110,12.62,12.68,12.26,12.34,12.64,-0.3,-2.3734,28598426.0,,1.0,12.62,12.68,12.26,12.34,12.64,-0.3,-2.3734
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180111,12.3,12.64,12.22,12.54,12.34,0.2,1.6207,32569117.0,,1.0,12.3,12.64,12.22,12.54,12.34,0.2,1.6207
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180112,12.66,12.68,12.18,12.42,12.54,-0.12,-0.9569,41029076.0,,1.0,12.66,12.68,12.18,12.42,12.54,-0.12,-0.9569
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180115,12.4,12.4,11.7,11.76,12.42,-0.66,-5.314,64585380.0,,1.0,12.4,12.4,11.7,11.76,12.42,-0.66,-5.314
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180116,11.7,11.98,11.52,11.62,11.76,-0.14,-1.1905,56596371.0,,1.0,11.7,11.98,11.52,11.62,11.76,-0.14,-1.1905
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180117,11.64,11.7,11.06,11.42,11.62,-0.2,-1.7212,84750209.0,,1.0,11.64,11.7,11.06,11.42,11.62,-0.2,-1.7212
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180118,11.44,11.48,11.08,11.24,11.42,-0.18,-1.5762,40575384.0,,1.0,11.44,11.48,11.08,11.24,11.42,-0.18,-1.5762
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180119,11.38,11.76,11.28,11.48,11.24,0.24,2.1352,53059231.0,,1.0,11.38,11.76,11.28,11.48,11.24,0.24,2.1352
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180122,11.48,11.74,11.22,11.52,11.48,0.04,0.3484,31088577.0,,1.0,11.48,11.74,11.22,11.52,11.48,0.04,0.3484
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180123,11.6,11.66,11.3,11.42,11.52,-0.1,-0.8681,33532038.0,,1.0,11.6,11.66,11.3,11.42,11.52,-0.1,-0.8681
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180124,11.4,12.02,11.22,11.86,11.42,0.44,3.8529,57464959.0,,1.0,11.4,12.02,11.22,11.86,11.42,0.44,3.8529
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180125,11.84,12.0,11.62,11.76,11.86,-0.1,-0.8432,26972016.0,,1.0,11.84,12.0,11.62,11.76,11.86,-0.1,-0.8432
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180126,11.74,11.88,11.42,11.5,11.76,-0.26,-2.2109,26084349.0,,1.0,11.74,11.88,11.42,11.5,11.76,-0.26,-2.2109
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180129,11.64,11.7,10.98,11.24,11.5,-0.26,-2.2609,51538960.0,,1.0,11.64,11.7,10.98,11.24,11.5,-0.26,-2.2609
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180130,11.16,11.24,11.02,11.2,11.24,-0.04,-0.3559,24206794.0,,1.0,11.16,11.24,11.02,11.2,11.24,-0.04,-0.3559
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180131,11.38,11.5,11.12,11.34,11.2,0.14,1.25,34410620.0,,1.0,11.38,11.5,11.12,11.34,11.2,0.14,1.25
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180201,11.24,11.42,10.92,10.98,11.34,-0.36,-3.1746,35029762.0,,1.0,11.24,11.42,10.92,10.98,11.34,-0.36,-3.1746
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180202,11.1,11.1,10.7,11.04,10.98,0.06,0.5465,24898998.0,,1.0,11.1,11.1,10.7,11.04,10.98,0.06,0.5464
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180205,10.6,10.9,10.52,10.84,11.04,-0.2,-1.8116,28609770.0,,1.0,10.6,10.9,10.52,10.84,11.04,-0.2,-1.8116
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180206,10.38,10.42,10.0,10.14,10.84,-0.7,-6.4576,80597982.0,,1.0,10.38,10.42,10.0,10.14,10.84,-0.7,-6.4576
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180207,10.4,10.54,9.88,9.93,10.14,-0.21,-2.071,52580379.0,,1.0,10.4,10.54,9.88,9.93,10.14,-0.21,-2.071
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180208,10.1,10.12,9.84,9.98,9.93,0.05,0.5035,34308702.0,,1.0,10.1,10.12,9.84,9.98,9.93,0.05,0.5035
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180209,9.6,9.95,9.5,9.75,9.98,-0.23,-2.3046,57517476.0,,1.0,9.6,9.95,9.5,9.75,9.98,-0.23,-2.3046
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180212,9.84,9.84,8.73,8.86,9.75,-0.89,-9.1282,152589161.0,,1.0,9.84,9.84,8.73,8.86,9.75,-0.89,-9.1282
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180213,9.04,9.35,8.92,9.0,8.86,0.14,1.5801,32477462.0,,1.0,9.04,9.35,8.92,9.0,8.86,0.14,1.5801
smic_h,smic,HK-share,HKEX,HKD,00981.HK,20180214,9.2,9.34,9.01,9.22,9.0,0.22,2.4444,22745610.0,,1.0,9.2,9.34,9.01,9.22,9.0,0.22,2.4444
