ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,qfq_change,qfq_pct_chg
300308.SZ,20250630,141.5,146.6,138.01,145.86,138.4,7.46,5.3902,752143.93,10740859.553,6.5893,141.1872,146.2759,137.7049,145.5375,138.094,7.4435,5.3902
300308.SZ,20250701,143.59,146.78,142.75,145.3,145.86,-0.56,-0.3839,319591.41,4641124.102,6.5893,143.2725,146.4555,142.4344,144.9788,145.5375,-0.5587,-0.3839
300308.SZ,20250702,142.5,142.6,138.13,138.93,145.3,-6.37,-4.384,365770.96,5109386.35,6.5893,142.185,142.2847,137.8246,138.6229,144.9788,-6.3559,-4.384
300308.SZ,20250703,141.47,143.84,139.49,142.26,138.93,3.33,2.3969,383978.75,5430809.335,6.5893,141.1572,143.522,139.1816,141.9455,138.6229,3.3226,2.3969
300308.SZ,20250704,143.11,145.18,138.55,139.45,142.26,-2.81,-1.9753,418744.79,5927014.308,6.5893,142.7936,144.859,138.2437,139.1417,141.9455,-2.8038,-1.9753
300308.SZ,20250707,137.5,139.77,130.21,135.15,139.45,-4.3,-3.0835,575204.24,7722491.415,6.5893,137.196,139.461,129.9221,134.8512,139.1417,-4.2905,-3.0835
300308.SZ,20250708,134.76,145.26,133.82,144.88,135.15,9.73,7.1994,532241.12,7500377.252,6.5893,134.4621,144.9389,133.5241,144.5597,134.8512,9.7085,7.1994
300308.SZ,20250709,145.0,149.36,144.05,145.3,144.88,0.42,0.2899,415095.61,6085220.987,6.5893,144.6794,149.0298,143.7315,144.9788,144.5597,0.4191,0.2899
300308.SZ,20250710,146.52,148.68,142.0,146.59,145.3,1.29,0.8878,435403.97,6336658.699,6.5893,146.1961,148.3513,141.6861,146.2659,144.9788,1.2871,0.8878
300308.SZ,20250711,144.74,147.88,142.55,145.28,146.59,-1.31,-0.8936,310988.62,4513795.973,6.5893,144.42,147.5531,142.2348,144.9588,146.2659,-1.3071,-0.8936
300308.SZ,20250714,144.33,150.5,144.33,149.82,145.28,4.54,3.125,388531.91,5781039.353,6.5893,144.0109,150.1673,144.0109,149.4888,144.9588,4.53,3.125
