trade_date,date,ts_code,qfq_open,qfq_high,qfq_low,qfq_close,tr,n_20,n_for_signal,entry_high_20,exit_low_10,breakout_long,exit_long,stop_long,stop_price,target_units,position_units,shares,cash,trade_action,trade_reason,signal_date,execution_date,execution_price,trade_value,fee,slippage_cost,portfolio_value,strategy_return,benchmark_value,benchmark_return,drawdown,instrument_key,company_key,market,exchange,currency,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_pre_close,qfq_change,qfq_pct_chg,signal,running_max
20250703,2025-07-03,002594.SZ,109.0257,110.4322,108.9236,110.2049,1.5118999999999971,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,byd_a,byd,A-share,SZSE,CNY,330.98,335.25,330.67,334.56,330.66,3.9,1.1795,123497.81,4123732.531,0.3294025850666666,108.9203,1.2846,1.1794,0,100000.0
20250704,2025-07-04,002594.SZ,109.5428,110.3465,108.6271,109.0322,1.7194000000000074,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,98935.8912353262,-0.01064108764673799,0.0,byd_a,byd,A-share,SZSE,CNY,332.55,334.99,329.77,331.0,334.56,-3.56,-1.0641,104103.55,3454495.463,0.3294024822492703,110.2049,-1.1727,-1.0641,0,100000.0
20250707,2025-07-07,002594.SZ,108.4393,108.8643,108.189,108.2384,0.8433000000000135,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,98215.59658418092,-0.007280418078329132,0.0,byd_a,byd,A-share,SZSE,CNY,329.2,330.49,328.44,328.59,331.0,-2.41,-0.7281000000000001,88207.72,2901015.557,0.3294025895333334,109.0323,-0.7939,-0.7281,0,100000.0
20250708,2025-07-08,002594.SZ,107.7146,108.6304,107.293,107.6751,1.3373999999999882,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,97704.45778726718,-0.00520425283448378,0.0,byd_a,byd,A-share,SZSE,CNY,327.0,329.78,325.72,326.88,328.59,-1.71,-0.5204,116918.14,3825413.668,0.3294025893333333,108.2384,-0.5633,-0.5204,0,100000.0
20250709,2025-07-09,002594.SZ,107.6817,108.1132,107.3128,107.3194,0.8004000000000104,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,97381.69536926218,-0.003303456416571704,0.0,byd_a,byd,A-share,SZSE,CNY,326.9,328.21,325.78,325.8,326.88,-1.08,-0.3304,121633.11,3969384.13,0.3294025793,107.6751,-0.3557,-0.3303,0,100000.0
20250710,2025-07-10,002594.SZ,107.3227,107.4149,105.03,105.814,2.384900000000002,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,96015.69440197306,-0.014027286772009595,0.0,byd_a,byd,A-share,SZSE,CNY,325.81,326.09,318.85,321.23,325.8,-4.57,-1.4027,210022.06,6741345.468,0.3294026933774889,107.3194,-1.5054,-1.4027,0,100000.0
20250711,2025-07-11,002594.SZ,105.3759,107.6652,105.086,106.6968,2.5792,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,96816.74771266976,0.008342941387718072,0.0,byd_a,byd,A-share,SZSE,CNY,319.9,326.85,319.02,323.91,321.23,2.68,0.8343,168269.83,5456832.018,0.3294025852666666,105.814,0.8828,0.8343,0,100000.0
20250714,2025-07-14,002594.SZ,106.6968,106.6968,104.605,104.9114,2.091799999999992,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,95196.67455802782,-0.01673339781511718,0.0,byd_a,byd,A-share,SZSE,CNY,323.91,323.91,317.56,318.49,323.91,-5.42,-1.6733,172309.14,5502331.854,0.3294024710403191,106.6968,-1.7854,-1.6733,0,100000.0
20250715,2025-07-15,002594.SZ,104.8159,107.0558,104.75,106.4135,2.305800000000005,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,96559.68110310884,0.014317795778151732,0.0,byd_a,byd,A-share,SZSE,CNY,318.2,325.0,318.0,323.05,318.49,4.56,1.4318,162790.94,5252631.322,0.3294024813668937,104.9114,1.5021,1.4318,0,100000.0
20250716,2025-07-16,002594.SZ,106.4168,107.3556,106.4168,106.6342,0.9420999999999964,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,96759.94443078303,0.0020739849737110294,0.0,byd_a,byd,A-share,SZSE,CNY,323.06,325.91,323.06,323.72,323.05,0.67,0.2074,110758.35,3594544.238,0.3294026896887355,106.4135,0.2207,0.2074,0,100000.0
20250717,2025-07-17,002594.SZ,107.0558,108.2812,106.7594,108.0506,1.6469999999999914,,,,104.605,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,98045.1867385207,0.013282792950104039,0.0,byd_a,byd,A-share,SZSE,CNY,325.0,328.72,324.1,328.02,323.72,4.3,1.3283,156891.35,5138610.961,0.3294025971333333,106.6342,1.4164,1.3283,0,100000.0
20250718,2025-07-18,002594.SZ,108.4162,108.5381,107.1382,108.4097,1.3999000000000024,,,,104.605,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,98371.03431880071,0.0033234429054536108,0.0,byd_a,byd,A-share,SZSE,CNY,329.13,329.5,325.25,329.11,328.02,1.09,0.3323,136866.49,4482466.755,0.3294024873110974,108.0506,0.3591,0.3323,0,100000.0
20250721,2025-07-21,002594.SZ,108.0407,110.06,107.8003,110.06,2.2597000000000094,,,,104.605,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,99868.51764304492,0.015222807553198825,0.0,byd_a,byd,A-share,SZSE,CNY,327.99,334.12,327.26,334.12,329.11,5.01,1.5223,153945.03,5102459.146,0.3294024937118903,108.4097,1.6503,1.5223,0,100000.0
20250722,2025-07-22,002594.SZ,110.3499,112.659,109.7603,112.5536,2.898700000000005,,,,104.605,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,102131.2119515557,0.02265673269125923,0.0,byd_a,byd,A-share,SZSE,CNY,335.0,342.01,333.21,341.69,334.12,7.57,2.2657,214164.17,7227731.007,0.3294026917372654,110.06,2.4936,2.2657,0,100000.0
20250723,2025-07-23,002594.SZ,112.6853,112.9851,111.0087,111.3611,1.9763999999999982,,,,104.605,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,101049.13665363337,-0.010594952093935794,0.0,byd_a,byd,A-share,SZSE,CNY,342.09,343.0,337.0,338.07,341.69,-3.62,-1.0594,158907.35,5395840.274,0.3294025940666667,112.5536,-1.1925,-1.0595,0,100000.0
