trade_date,date,ts_code,qfq_open,qfq_high,qfq_low,qfq_close,tr,n_20,n_for_signal,entry_high_20,exit_low_10,breakout_long,exit_long,stop_long,stop_price,target_units,position_units,shares,cash,trade_action,trade_reason,signal_date,execution_date,execution_price,trade_value,fee,slippage_cost,portfolio_value,strategy_return,benchmark_value,benchmark_return,drawdown,instrument_key,company_key,market,exchange,currency,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_pre_close,qfq_change,qfq_pct_chg,signal,running_max
20250703,2025-07-03,01211.HK,122.4157,123.0128,121.6195,122.4157,1.3932999999999964,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,byd_h,byd,HK-share,HKEX,HKD,123.0,123.6,122.2,123.0,123.0,0.0,0.0,17122687,,0.9952493063,122.4157,0.0,0.0,0,100000.0
20250704,2025-07-04,01211.HK,121.719,122.7142,120.2261,120.9228,2.488100000000003,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,98780.4668845581,-0.012195331154418954,0.0,byd_h,byd,HK-share,HKEX,HKD,122.3,123.3,120.8,121.5,123.0,-1.5,-1.2195,20263203,,0.9952493048,122.4157,-1.4929,-1.2195,0,100000.0
20250707,2025-07-07,01211.HK,119.629,122.6147,119.629,120.9228,2.9856999999999942,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,98780.4668845581,0.0,0.0,byd_h,byd,HK-share,HKEX,HKD,120.2,123.2,120.2,121.5,121.5,0.0,0.0,17193365,,0.9952493048,120.9228,0.0,0.0,0,100000.0
20250708,2025-07-08,01211.HK,120.9228,123.4109,120.2261,122.1171,3.1847999999999956,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,99756.07703913795,0.00987654933560922,0.0,byd_h,byd,HK-share,HKEX,HKD,121.5,124.0,120.8,122.7,121.5,1.2,0.9877,13838177,,0.9952493183,120.9228,1.1943,0.9877,0,100000.0
20250709,2025-07-09,01211.HK,121.2214,121.918,119.828,120.7237,2.2890999999999906,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,98617.82434769397,-0.011410359400935599,0.0,byd_h,byd,HK-share,HKEX,HKD,121.8,122.5,120.4,121.3,122.7,-1.4,-1.141,15436702,,0.995249334,122.1171,-1.3934,-1.141,0,100000.0
20250710,2025-07-10,01211.HK,120.7237,120.7237,116.2451,118.9323,4.4786,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,97154.44996025837,-0.014838842745873437,0.0,byd_h,byd,HK-share,HKEX,HKD,121.3,121.3,116.8,119.5,121.3,-1.8,-1.4839,35910836,,0.9952493452,120.7237,-1.7914,-1.4839,0,100000.0
20250711,2025-07-11,01211.HK,118.2356,121.4204,117.5389,119.5294,3.8815000000000026,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,97642.21419311412,0.005020503261099041,0.0,byd_h,byd,HK-share,HKEX,HKD,118.8,122.0,118.1,120.1,119.5,0.6000000000000001,0.5021,19783006,,0.9952493202,118.9323,0.5971,0.5021,0,100000.0
20250714,2025-07-14,01211.HK,119.5294,120.4252,118.5342,119.828,1.8910000000000053,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,97886.13715397616,0.0024981301671387346,0.0,byd_h,byd,HK-share,HKEX,HKD,120.1,121.0,119.1,120.4,120.1,0.3,0.2498,14230919,,0.9952493079,119.5294,0.2986,0.2498,0,100000.0
20250715,2025-07-15,01211.HK,120.1266,123.0128,119.5294,122.8138,3.483400000000003,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,100325.20338485995,0.02491738158026524,0.0,byd_h,byd,HK-share,HKEX,HKD,120.7,123.6,120.1,123.4,120.4,3.0,2.4917,26090205,,0.9952493109,119.828,2.9858,2.4917,0,100000.0
20250716,2025-07-16,01211.HK,123.4109,124.4062,121.719,121.918,2.6872000000000043,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,99593.43450227381,-0.007293968593106048,0.0,byd_h,byd,HK-share,HKEX,HKD,124.0,125.0,122.3,122.5,123.4,-0.9,-0.7293000000000001,19614661,,0.9952493473,122.8138,-0.8958,-0.7294,0,100000.0
20250717,2025-07-17,01211.HK,122.4157,124.2071,122.0176,123.2119,2.2890999999999906,,,,116.2451,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,100650.40676971989,0.010612870946045572,0.0,byd_h,byd,HK-share,HKEX,HKD,123.0,124.8,122.6,123.8,122.5,1.3,1.0612,19477455,,0.9952493154,121.918,1.2939,1.0613,0,100000.0
20250718,2025-07-18,01211.HK,124.8043,125.7995,123.4109,125.7995,2.587599999999995,,,,116.2451,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,102764.1879268754,0.021001218226486262,0.0,byd_h,byd,HK-share,HKEX,HKD,125.4,126.4,124.0,126.4,123.8,2.6,2.1002,21635637,,0.9952493137,123.2119,2.5876,2.1001,0,100000.0
20250721,2025-07-21,01211.HK,126.3967,127.591,125.3019,127.0933,2.2890999999999906,,,,116.2451,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,103821.07850545314,0.010284619573209808,0.0,byd_h,byd,HK-share,HKEX,HKD,127.0,128.2,125.9,127.7,126.4,1.3,1.0285,17920034,,0.9952493426,125.7995,1.2938,1.0285,0,100000.0
20250722,2025-07-22,01211.HK,128.3872,134.1596,127.591,133.5625,7.0663000000000125,,,,116.2451,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,109105.69477607856,0.05090118833958979,0.0,byd_h,byd,HK-share,HKEX,HKD,129.0,134.8,128.2,134.2,127.7,6.5,5.0901,36660871,,0.9952493089,127.0933,6.4692,5.0901,0,100000.0
20250723,2025-07-23,01211.HK,134.1596,134.1596,130.8753,132.7663,3.2843000000000018,,,,116.2451,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,108455.28800635866,-0.00596125409452497,0.0,byd_h,byd,HK-share,HKEX,HKD,134.8,134.8,131.5,133.4,134.2,-0.8,-0.5961000000000001,26556397,,0.9952493005,133.5625,-0.7962,-0.5961,0,100000.0
20250724,2025-07-24,01211.HK,132.4677,135.6525,130.8753,131.4724,4.7771999999999935,,,,116.2451,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,107398.31573891257,-0.00974569600870101,0.0,byd_h,byd,HK-share,HKEX,HKD,133.1,136.3,131.5,132.1,133.4,-1.3,-0.9745,27635344,,0.9952493304,132.7663,-1.2939,-0.9746,0,100000.0
20250725,2025-07-25,01211.HK,131.3729,131.3729,127.0933,128.9843,4.379099999999994,,,,117.5389,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,105365.81500575496,-0.01892488461456565,0.0,byd_h,byd,HK-share,HKEX,HKD,132.0,132.0,127.7,129.6,132.1,-2.5,-1.8925,26270427,,0.9952492893,131.4724,-2.4881,-1.8925,0,100000.0
20250728,2025-07-28,01211.HK,128.9843,128.9843,127.0933,127.4914,1.8909999999999911,,,,118.5342,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,104146.28189031308,-0.011574276869355304,0.0,byd_h,byd,HK-share,HKEX,HKD,129.6,129.6,127.7,128.1,129.6,-1.5,-1.1574,15043124,,0.9952493472,128.9843,-1.4929,-1.1574,0,100000.0
20250729,2025-07-29,01211.HK,126.6952,127.6905,124.9038,127.6905,2.786699999999996,,,,119.5294,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,104308.92442717723,0.0015616739638910637,0.0,byd_h,byd,HK-share,HKEX,HKD,127.3,128.3,125.5,128.3,128.1,0.2,0.1561,21397126,,0.9952493194,127.4914,0.1991,0.1562,0,100000.0
20250730,2025-07-30,01211.HK,121.4204,123.809,119.9275,120.3256,7.763000000000005,3.393804999999998,,,121.719,False,True,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,98292.62096283401,-0.057677744233126216,0.0,byd_h,byd,HK-share,HKEX,HKD,122.0,124.4,120.5,120.9,128.3,-7.4,-5.7677,76017822,,0.9952493294,127.6905,-7.3649,-5.7678,-1,100000.0
20250731,2025-07-31,01211.HK,118.4347,118.6337,114.8518,114.8518,5.473799999999997,3.497804749999998,3.393804999999998,135.6525,119.9275,False,True,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,93821.13568766098,-0.0454915662169979,0.0,byd_h,byd,HK-share,HKEX,HKD,119.0,119.2,115.4,115.4,120.9,-5.5,-4.5492,62122627,,0.9952493467,120.3256,-5.4738,-4.5492,-1,100000.0
20250801,2025-08-01,01211.HK,113.558,117.0413,113.558,115.648,3.4833,3.4970795124999983,3.497804749999998,135.6525,114.8518,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,94471.54245738087,0.006932412030111745,0.0,byd_h,byd,HK-share,HKEX,HKD,114.1,117.6,114.1,116.2,115.4,0.8,0.6932,39028300,,0.9952493558,114.8518,0.7962,0.6932,0,100000.0
20250804,2025-08-04,01211.HK,112.2641,114.6527,110.7712,113.956,4.876800000000003,3.5660655368749987,3.4970795124999983,135.6525,113.558,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,93089.36680507484,-0.014630603209739856,0.0,byd_h,byd,HK-share,HKEX,HKD,112.8,115.2,111.3,114.5,116.2,-1.7,-1.463,42566291,,0.9952493193,115.648,-1.692,-1.4631,0,100000.0
20250805,2025-08-05,01211.HK,110.4727,113.2594,110.4727,111.5675,3.483400000000003,3.5619322600312486,3.5660655368749987,135.6525,110.7712,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,91138.22818478348,-0.020959844150373885,0.0,byd_h,byd,HK-share,HKEX,HKD,111.0,113.8,111.0,112.1,114.5,-2.4,-2.0961,68009886,,0.9952493577,113.9561,-2.3886,-2.0961,0,100000.0
20250806,2025-08-06,01211.HK,110.4727,111.3684,109.577,111.0698,1.9904999999999973,3.4833606470296856,3.5619322600312486,135.6525,110.4727,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,90731.6626870573,-0.004460976538866568,0.0,byd_h,byd,HK-share,HKEX,HKD,111.0,111.9,110.1,111.6,112.1,-0.5,-0.446,41494511,,0.9952493346,111.5675,-0.4977,-0.4461,0,100000.0
20250807,2025-08-07,01211.HK,109.9751,113.3589,109.9751,112.2641,3.383800000000008,3.478382614678202,3.4833606470296856,135.6525,109.577,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,91707.27284163714,0.010752697853061655,0.0,byd_h,byd,HK-share,HKEX,HKD,110.5,113.9,110.5,112.8,111.6,1.2,1.0753,34817751,,0.9952493493,111.0698,1.1943,1.0753,0,100000.0
20250808,2025-08-08,01211.HK,111.3684,112.8613,110.3732,110.6717,2.488100000000003,3.4288684839442922,3.478382614678202,135.6525,109.577,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,90406.45930219734,-0.014184409797967534,0.0,byd_h,byd,HK-share,HKEX,HKD,111.9,113.4,110.9,111.2,112.8,-1.6,-1.4184,25663397,,0.9952493296,112.2641,-1.5924,-1.4184,0,100000.0
20250811,2025-08-11,01211.HK,110.6717,112.1646,108.7808,110.9703,3.3837999999999937,3.4266150597470775,3.4288684839442922,135.6525,109.577,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,90650.3822630594,0.002698070057657098,0.0,byd_h,byd,HK-share,HKEX,HKD,111.2,112.7,109.3,111.5,111.2,0.3,0.2698,28977721,,0.9952493163,110.6717,0.2986,0.2698,0,100000.0
20250812,2025-08-12,01211.HK,110.3732,111.7665,110.2736,110.7713,1.4928999999999917,3.3299293067597233,3.4266150597470775,135.6525,108.7808,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,90487.82141506359,-0.0017932726143842226,0.0,byd_h,byd,HK-share,HKEX,HKD,110.9,112.3,110.8,111.3,111.5,-0.2,-0.1794,22566164,,0.9952493482,110.9703,-0.199,-0.1793,0,100000.0
20250813,2025-08-13,01211.HK,112.1646,115.0508,111.2689,114.4537,4.279499999999999,3.377407841421737,3.3299293067597233,135.6525,108.7808,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,93495.93230280103,0.033243267886176264,0.0,byd_h,byd,HK-share,HKEX,HKD,112.7,115.6,111.8,115.0,111.3,3.7,3.3243,40414547,,0.9952493419,110.7713,3.6824,3.3243,0,100000.0
20250814,2025-08-14,01211.HK,115.4489,115.648,112.4632,113.2594,3.1847999999999956,3.36777744935065,3.377407841421737,135.6525,108.7808,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,92520.32214822118,-0.010434787167212578,0.0,byd_h,byd,HK-share,HKEX,HKD,116.0,116.2,113.0,113.8,115.0,-1.2,-1.0435,34253977,,0.9952493277,114.4537,-1.1943,-1.0435,0,100000.0
20250815,2025-08-15,01211.HK,111.2689,112.4632,110.3732,112.2641,2.8862000000000023,3.343698576883118,3.36777744935065,135.6525,108.7808,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,91707.27284163714,-0.008787791565203373,0.0,byd_h,byd,HK-share,HKEX,HKD,111.8,113.0,110.9,112.8,113.8,-1.0,-0.8787,26179726,,0.9952493493,113.2594,-0.9953,-0.8788,0,100000.0
