trade_date,date,ts_code,qfq_open,qfq_high,qfq_low,qfq_close,tr,n_20,n_for_signal,entry_high_20,exit_low_10,breakout_long,exit_long,stop_long,stop_price,target_units,position_units,shares,cash,trade_action,trade_reason,signal_date,execution_date,execution_price,trade_value,fee,slippage_cost,portfolio_value,strategy_return,benchmark_value,benchmark_return,drawdown,instrument_key,company_key,market,exchange,currency,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_pre_close,qfq_change,qfq_pct_chg,signal,running_max
20250703,2025-07-03,600900.SH,29.2904,29.3098,28.8936,29.1259,0.4161999999999999,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,cypc_a,cypc,A-share,SSE,CNY,30.26,30.28,29.85,30.09,30.25,-0.16,-0.5289,936811.23,2811204.131,0.9679585082,29.2807,-0.1548,-0.5287,0,100000.0
20250704,2025-07-04,600900.SH,29.0968,29.3195,29.0484,29.1936,0.27110000000000056,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,cypc_a,cypc,A-share,SSE,CNY,30.06,30.29,30.01,30.16,30.09,0.07,0.2326,679228.05,2048728.031,0.96795844,29.1259,0.0677,0.2324,0,100000.0
20250707,2025-07-07,600900.SH,29.2711,29.3098,29.1065,29.2904,0.2032999999999987,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,cypc_a,cypc,A-share,SSE,CNY,30.24,30.28,30.07,30.26,30.16,0.1,0.3316,508278.48,1534745.747,0.9679584972,29.1936,0.0968,0.3316,0,100000.0
20250708,2025-07-08,600900.SH,29.3001,29.3001,28.9516,28.9613,0.34850000000000136,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,cypc_a,cypc,A-share,SSE,CNY,30.27,30.27,29.91,29.92,30.26,-0.34,-1.1236,1073286.01,3219638.664,0.9679584555,29.2904,-0.3291,-1.1236,0,100000.0
20250709,2025-07-09,600900.SH,28.9904,29.1356,28.8936,29.0194,0.24200000000000088,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,cypc_a,cypc,A-share,SSE,CNY,29.95,30.1,29.85,29.98,29.92,0.06,0.2005,670383.21,2011578.386,0.9679585147,28.9613,0.0581,0.2006,0,100000.0
20250710,2025-07-10,600900.SH,29.0388,29.1162,28.8452,28.942,0.2710000000000008,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,cypc_a,cypc,A-share,SSE,CNY,30.0,30.08,29.8,29.9,29.98,-0.08,-0.2668,947643.05,2835522.287,0.9679585201,29.0194,-0.0774,-0.2667,0,100000.0
20250711,2025-07-11,600900.SH,28.9613,29.6099,28.9129,29.4259,0.6969999999999992,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,cypc_a,cypc,A-share,SSE,CNY,29.92,30.59,29.87,30.4,29.9,0.5,1.6722,1642154.79,4984368.453,0.9679584876,28.942,0.4839,1.672,0,100000.0
20250714,2025-07-14,600900.SH,29.4453,29.8034,29.4259,29.6292,0.3775000000000013,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,cypc_a,cypc,A-share,SSE,CNY,30.42,30.79,30.4,30.61,30.4,0.21,0.6908000000000001,771547.17,2363137.312,0.9679584753,29.4259,0.2033,0.6909,0,100000.0
20250715,2025-07-15,600900.SH,29.6292,29.697,29.3775,29.5034,0.3194999999999979,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,cypc_a,cypc,A-share,SSE,CNY,30.61,30.68,30.35,30.48,30.61,-0.13,-0.4247,562461.57,1714077.283,0.9679584824,29.6292,-0.1258,-0.4246,0,100000.0
20250716,2025-07-16,600900.SH,29.6195,29.6776,29.3582,29.3679,0.3194000000000017,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,cypc_a,cypc,A-share,SSE,CNY,30.6,30.66,30.33,30.34,30.48,-0.14,-0.4593,386213.46,1174692.478,0.967958492,29.5034,-0.1355,-0.4593,0,100000.0
