trade_date,date,ts_code,qfq_open,qfq_high,qfq_low,qfq_close,tr,n_20,n_for_signal,entry_high_20,exit_low_10,breakout_long,exit_long,stop_long,stop_price,target_units,position_units,shares,cash,trade_action,trade_reason,signal_date,execution_date,execution_price,trade_value,fee,slippage_cost,portfolio_value,strategy_return,benchmark_value,benchmark_return,drawdown,instrument_key,company_key,market,exchange,currency,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_pre_close,qfq_change,qfq_pct_chg,signal,running_max
20250703,2025-07-03,688981.SH,86.38,86.73,85.78,86.24,0.9500000000000028,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,smic_a,smic,A-share,SSE,CNY,86.38,86.73,85.78,86.24,86.1,0.14,0.1626,146150.27,1260331.049,1,86.1,0.14,0.1626,0,100000.0
20250704,2025-07-04,688981.SH,86.0,87.2,84.86,85.8,2.3400000000000034,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,99489.79591836735,-0.005102040816326481,0.0,smic_a,smic,A-share,SSE,CNY,86.0,87.2,84.86,85.8,86.24,-0.44,-0.5102,252257.45,2166412.311,1,86.24,-0.44,-0.5102,0,100000.0
20250707,2025-07-07,688981.SH,85.69,86.86,85.37,85.48,1.4899999999999949,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,99118.7384044527,-0.0037296037296037365,0.0,smic_a,smic,A-share,SSE,CNY,85.69,86.86,85.37,85.48,85.8,-0.32,-0.373,135349.28,1162397.568,1,85.8,-0.32,-0.373,0,100000.0
20250708,2025-07-08,688981.SH,85.49,86.85,85.18,86.74,1.6699999999999875,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,100579.77736549165,0.014740290126345368,0.0,smic_a,smic,A-share,SSE,CNY,85.49,86.85,85.18,86.74,85.48,1.26,1.474,217668.48,1876172.23,1,85.48,1.26,1.474,0,100000.0
20250709,2025-07-09,688981.SH,86.65,86.86,85.52,85.85,1.3400000000000034,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,99547.77365491651,-0.010260548766428457,0.0,smic_a,smic,A-share,SSE,CNY,86.65,86.86,85.52,85.85,86.74,-0.89,-1.0261,183102.0,1578143.686,1,86.74,-0.89,-1.0261,0,100000.0
20250710,2025-07-10,688981.SH,85.61,86.17,85.5,85.67,0.6700000000000017,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,99339.05380333953,-0.0020966802562608633,0.0,smic_a,smic,A-share,SSE,CNY,85.61,86.17,85.5,85.67,85.85,-0.18,-0.2097,175639.46,1506706.468,1,85.85,-0.18,-0.2097,0,100000.0
20250711,2025-07-11,688981.SH,85.7,89.34,85.4,88.16,3.9399999999999977,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,102226.34508348795,0.029065016925411413,0.0,smic_a,smic,A-share,SSE,CNY,85.7,89.34,85.4,88.16,85.67,2.49,2.9065,469922.38,4128335.55,1,85.67,2.49,2.9065,0,100000.0
20250714,2025-07-14,688981.SH,88.3,88.49,87.47,87.52,1.019999999999996,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,101484.23005565863,-0.007259528130671544,0.0,smic_a,smic,A-share,SSE,CNY,88.3,88.49,87.47,87.52,88.16,-0.64,-0.726,189831.36,1667925.619,1,88.16,-0.64,-0.726,0,100000.0
20250715,2025-07-15,688981.SH,87.15,87.95,86.61,87.89,1.3400000000000034,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,101913.26530612246,0.004227605118830136,0.0,smic_a,smic,A-share,SSE,CNY,87.15,87.95,86.61,87.89,87.52,0.37,0.4228,206173.16,1800356.659,1,87.52,0.37,0.4228,0,100000.0
20250716,2025-07-16,688981.SH,87.73,88.2,86.77,87.12,1.4300000000000068,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,101020.40816326531,-0.008760951188986232,0.0,smic_a,smic,A-share,SSE,CNY,87.73,88.2,86.77,87.12,87.89,-0.77,-0.8761,196708.51,1720548.788,1,87.89,-0.77,-0.8761,0,100000.0
20250717,2025-07-17,688981.SH,87.06,89.0,86.32,88.79,2.680000000000007,,,,84.86,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,102956.86456400742,0.019168962350780472,0.0,smic_a,smic,A-share,SSE,CNY,87.06,89.0,86.32,88.79,87.12,1.67,1.9169,287922.16,2535637.954,1,87.12,1.67,1.9169,0,100000.0
20250718,2025-07-18,688981.SH,88.75,89.13,87.93,88.51,1.1999999999999886,,,,84.86,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,102632.1892393321,-0.0031535082779592383,0.0,smic_a,smic,A-share,SSE,CNY,88.75,89.13,87.93,88.51,88.79,-0.28,-0.3154,219959.93,1948101.635,1,88.79,-0.28,-0.3154,0,100000.0
20250721,2025-07-21,688981.SH,88.45,89.52,88.04,89.02,1.4799999999999898,,,,85.18,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,103223.56215213359,0.005762060784092249,0.0,smic_a,smic,A-share,SSE,CNY,88.45,89.52,88.04,89.02,88.51,0.51,0.5762,222719.15,1983498.56,1,88.51,0.51,0.5762,0,100000.0
20250722,2025-07-22,688981.SH,88.7,90.55,88.5,89.08,2.049999999999997,,,,85.18,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,103293.13543599259,0.0006740058413841066,0.0,smic_a,smic,A-share,SSE,CNY,88.7,90.55,88.5,89.08,89.02,0.06,0.0674,297420.68,2662984.479,1,89.02,0.06,0.0674,0,100000.0
20250723,2025-07-23,688981.SH,88.9,90.19,88.3,89.39,1.8900000000000006,,,,85.4,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,103652.59740259741,0.003480017961382975,0.0,smic_a,smic,A-share,SSE,CNY,88.9,90.19,88.3,89.39,89.08,0.31,0.348,316549.41,2831683.379,1,89.08,0.31,0.348,0,100000.0
20250724,2025-07-24,688981.SH,89.1,92.9,89.0,91.75,3.9000000000000057,,,,85.4,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,106389.14656771801,0.026401163441100772,0.0,smic_a,smic,A-share,SSE,CNY,89.1,92.9,89.0,91.75,89.39,2.36,2.6401,522324.53,4779308.503,1,89.39,2.36,2.6401,0,100000.0
20250725,2025-07-25,688981.SH,91.74,93.68,90.99,93.47,2.690000000000012,,,,85.4,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,108383.58070500928,0.018746594005449646,0.0,smic_a,smic,A-share,SSE,CNY,91.74,93.68,90.99,93.47,91.75,1.72,1.8747,442124.79,4076414.682,1,91.75,1.72,1.8747,0,100000.0
20250728,2025-07-28,688981.SH,93.64,93.69,91.96,92.18,1.730000000000004,,,,86.32,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,106887.75510204083,-0.013801219642666007,0.0,smic_a,smic,A-share,SSE,CNY,93.64,93.69,91.96,92.18,93.47,-1.29,-1.3801,342640.05,3167887.757,1,93.47,-1.29,-1.3801,0,100000.0
20250729,2025-07-29,688981.SH,92.0,92.63,90.81,92.17,1.8199999999999932,,,,86.32,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,106876.15955473098,-0.00010848340203961637,0.0,smic_a,smic,A-share,SSE,CNY,92.0,92.63,90.81,92.17,92.18,-0.01,-0.0108,294142.08,2699803.673,1,92.18,-0.01,-0.0108,0,100000.0
20250730,2025-07-30,688981.SH,91.7,91.83,89.74,90.36,2.430000000000007,1.903,,,86.32,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,104777.36549165122,-0.019637626125637353,0.0,smic_a,smic,A-share,SSE,CNY,91.7,91.83,89.74,90.36,92.17,-1.81,-1.9638,310018.59,2815721.986,1,92.17,-1.81,-1.9638,0,100000.0
20250731,2025-07-31,688981.SH,90.32,92.75,89.46,89.5,3.2900000000000063,1.9723500000000005,1.903,93.69,86.32,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,103780.14842300556,-0.009517485613103283,0.0,smic_a,smic,A-share,SSE,CNY,90.32,92.75,89.46,89.5,90.36,-0.86,-0.9517,461988.52,4187082.774,1,90.36,-0.86,-0.9517,0,100000.0
20250801,2025-08-01,688981.SH,89.2,90.33,88.02,88.29,2.3100000000000023,1.9892325000000006,1.9723500000000005,93.69,87.93,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,102377.08719851577,-0.013519553072625645,0.0,smic_a,smic,A-share,SSE,CNY,89.2,90.33,88.02,88.29,89.5,-1.21,-1.352,274140.33,2439842.712,1,89.5,-1.21,-1.352,0,100000.0
20250804,2025-08-04,688981.SH,87.95,90.63,87.88,90.07,2.75,2.0272708750000006,1.9892325000000006,93.69,88.02,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,104441.09461966605,0.020160833616491125,0.0,smic_a,smic,A-share,SSE,CNY,87.95,90.63,87.88,90.07,88.29,1.78,2.0161,286057.6,2568808.038,1,88.29,1.78,2.0161,0,100000.0
20250805,2025-08-05,688981.SH,89.85,90.58,89.58,90.0,1.0,1.9759073312500006,2.0272708750000006,93.69,87.88,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,104359.92578849722,-0.0007771733096481048,0.0,smic_a,smic,A-share,SSE,CNY,89.85,90.58,89.58,90.0,90.07,-0.07,-0.0777,195679.4,1761818.589,1,90.07,-0.07,-0.0777,0,100000.0
20250806,2025-08-06,688981.SH,89.86,91.0,89.53,90.78,1.4699999999999989,1.9506119646875006,1.9759073312500006,93.69,87.88,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,105264.3784786642,0.008666666666666822,0.0,smic_a,smic,A-share,SSE,CNY,89.86,91.0,89.53,90.78,90.0,0.78,0.8667,267797.87,2418543.09,1,90.0,0.78,0.8667,0,100000.0
20250807,2025-08-07,688981.SH,90.7,91.7,89.75,90.59,1.9500000000000028,1.9505813664531257,1.9506119646875006,93.69,87.88,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,105044.06307977738,-0.002092972020268813,0.0,smic_a,smic,A-share,SSE,CNY,90.7,91.7,89.75,90.59,90.78,-0.19,-0.2093,315259.94,2859638.85,1,90.78,-0.19,-0.2093,0,100000.0
20250808,2025-08-08,688981.SH,88.0,88.5,86.66,86.66,3.930000000000007,2.04955229813047,1.9505813664531257,93.69,87.88,False,True,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,100487.01298701299,-0.04338227177392662,0.0,smic_a,smic,A-share,SSE,CNY,88.0,88.5,86.66,86.66,90.59,-3.93,-4.3382,584730.5,5098977.106,1,90.59,-3.93,-4.3382,-1,100000.0
20250811,2025-08-11,688981.SH,86.69,87.18,86.22,86.96,0.960000000000008,1.9950746832239468,2.04955229813047,93.69,86.66,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,100834.87940630798,0.0034618047542118724,0.0,smic_a,smic,A-share,SSE,CNY,86.69,87.18,86.22,86.96,86.66,0.3,0.3462,279193.14,2423559.078,1,86.66,0.3,0.3462,0,100000.0
20250812,2025-08-12,688981.SH,86.95,90.1,86.42,88.52,3.6799999999999926,2.079320949062749,1.9950746832239468,93.69,86.22,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,102643.78478664193,0.017939282428702796,0.0,smic_a,smic,A-share,SSE,CNY,86.95,90.1,86.42,88.52,86.96,1.56,1.7939,551552.4,4870773.398,1,86.96,1.56,1.7939,0,100000.0
20250813,2025-08-13,688981.SH,88.01,89.23,88.0,88.66,1.230000000000004,2.036854901609612,2.079320949062749,93.69,86.22,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,102806.1224489796,0.0015815634884772667,0.0,smic_a,smic,A-share,SSE,CNY,88.01,89.23,88.0,88.66,88.52,0.14,0.1582,384304.42,3405728.487,1,88.52,0.14,0.1582,0,100000.0
20250814,2025-08-14,688981.SH,88.69,92.58,88.69,89.46,3.9200000000000017,2.131012156529131,2.036854901609612,93.69,86.22,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,103733.76623376623,0.009023234829686366,0.0,smic_a,smic,A-share,SSE,CNY,88.69,92.58,88.69,89.46,88.66,0.8,0.9023,741492.26,6741604.128,1,88.66,0.8,0.9023,0,100000.0
20250815,2025-08-15,688981.SH,89.0,93.3,88.48,91.84,4.819999999999993,2.265461548702674,2.131012156529131,93.69,86.22,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,106493.5064935065,0.026604068857590146,0.0,smic_a,smic,A-share,SSE,CNY,89.0,93.3,88.48,91.84,89.46,2.38,2.6604,690499.46,6288369.53,1,89.46,2.38,2.6604,0,100000.0
20250818,2025-08-18,688981.SH,93.5,95.17,91.36,92.31,3.8100000000000023,2.3426884712675404,2.265461548702674,93.69,86.22,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,107038.49721706865,0.005117595818815213,0.0,smic_a,smic,A-share,SSE,CNY,93.5,95.17,91.36,92.31,91.84,0.47,0.5118,833423.13,7749849.746,1,91.84,0.47,0.5118,0,100000.0
20250819,2025-08-19,688981.SH,91.67,92.48,89.35,89.35,3.1300000000000097,2.382054047704164,2.3426884712675404,95.17,86.22,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,103606.21521335808,-0.03206586502004116,0.0,smic_a,smic,A-share,SSE,CNY,91.67,92.48,89.35,89.35,92.31,-2.96,-3.2066,744652.14,6762914.098,1,92.31,-2.96,-3.2066,0,100000.0
20250820,2025-08-20,688981.SH,89.4,92.49,88.19,92.28,4.299999999999997,2.4779513453189557,2.382054047704164,95.17,86.22,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,107003.71057513915,0.032792389479574524,0.0,smic_a,smic,A-share,SSE,CNY,89.4,92.49,88.19,92.28,89.35,2.93,3.2792,858745.56,7756060.795,1,89.35,2.93,3.2792,0,100000.0
20250821,2025-08-21,688981.SH,92.3,94.11,90.8,91.05,3.3100000000000023,2.519553778053008,2.4779513453189557,95.17,86.22,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,105577.45825602968,-0.013328998699609906,0.0,smic_a,smic,A-share,SSE,CNY,92.3,94.11,90.8,91.05,92.28,-1.23,-1.3329,606826.05,5593619.618,1,92.28,-1.23,-1.3329,0,100000.0
20250822,2025-08-22,688981.SH,92.5,105.0,92.42,103.97,13.950000000000003,3.091076089150358,2.519553778053008,95.17,86.22,True,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,120558.90538033396,0.1419000549148821,0.0,smic_a,smic,A-share,SSE,CNY,92.5,105.0,92.42,103.97,91.05,12.92,14.19,2061948.09,20322967.7,1,91.05,12.92,14.19,1,100000.0
20250825,2025-08-25,688981.SH,106.0,109.24,101.1,103.17,8.14,3.3435222846928396,3.091076089150358,105.0,86.22,False,False,False,101.01389244389398,1,1,198.4478380081954,78932.96544715257,BUY,20-day high breakout,2025-08-22,2025-08-25,106.053,21045.988564283147,21.045988564283146,10.517735414434355,99406.82889445809,-0.00593171105541912,119631.26159554732,-0.007694527267481099,-0.00593171105541912,smic_a,smic,A-share,SSE,CNY,106.0,109.24,101.1,103.17,103.97,-0.8,-0.7695000000000001,1760636.98,18348502.386,1,103.97,-0.8,-0.7695,0,100000.0
20250826,2025-08-26,688981.SH,101.0,102.57,100.13,100.93,3.0400000000000063,3.328346170458198,3.3435222846928396,109.24,86.42,False,False,True,101.01389244389398,1,1,198.4478380081954,78932.96544715257,HOLD,,,,,0.0,0.0,0.0,98962.30573731974,-0.004471756740276889,117033.85899814471,-0.021711737908306716,-0.010376942626802665,smic_a,smic,A-share,SSE,CNY,101.0,102.57,100.13,100.93,103.17,-2.24,-2.1712,856074.09,8663988.281,1,103.17,-2.24,-2.1712,0,100000.0
20250827,2025-08-27,688981.SH,102.2,106.69,100.59,101.51,6.099999999999994,3.4669288619352883,3.328346170458198,109.24,88.0,False,False,False,,0,0,0.0,99183.922578708,SELL,2N stop loss,2025-08-26,2025-08-27,102.14890000000001,20271.228359915352,20.27122835991535,10.140684522218784,99183.922578708,0.0022394066077695562,117706.40074211503,0.005746557019716603,-0.008160774212919941,smic_a,smic,A-share,SSE,CNY,102.2,106.69,100.59,101.51,100.93,0.58,0.5747,1422620.71,14762335.293,1,100.93,0.58,0.5747,0,100000.0
20250828,2025-08-28,688981.SH,102.0,119.22,101.99,119.22,17.709999999999994,4.179082418838524,3.4669288619352883,109.24,88.19,True,False,False,,0,0,0.0,99183.922578708,HOLD,,,,,0.0,0.0,0.0,99183.922578708,0.0,138242.11502782934,0.17446556989459183,-0.008160774212919941,smic_a,smic,A-share,SSE,CNY,102.0,119.22,101.99,119.22,101.51,17.71,17.4466,2420325.11,27118768.322,1,101.51,17.71,17.4466,1,100000.0
20250829,2025-08-29,688981.SH,114.0,116.0,112.26,114.76,6.959999999999994,4.318128297896598,4.179082418838524,119.22,88.19,False,False,False,107.12314227612941,1,1,143.04291568783756,82852.56169826571,BUY,20-day high breakout,2025-08-28,2025-08-29,114.05699999999999,16315.045834607687,16.315045834607687,8.153446194206742,99268.16670260194,0.0008493727784064653,133070.5009276438,-0.03740983056534153,-0.007318332973980546,smic_a,smic,A-share,SSE,CNY,114.0,116.0,112.26,114.76,119.22,-4.46,-3.741,1639670.37,18711478.532,1,119.22,-4.46,-3.741,0,100000.0
20250909,2025-09-09,688981.SH,102.0,108.65,101.2,102.99,13.560000000000002,4.780221883001768,4.318128297896598,119.22,88.19,False,False,True,107.12314227612941,1,1,143.04291568783756,82852.56169826571,HOLD,,,,,0.0,0.0,0.0,97584.55158495609,-0.016960272094978857,119422.54174397032,-0.10256186824677593,-0.02415448415043908,smic_a,smic,A-share,SSE,CNY,102.0,108.65,101.2,102.99,114.76,-11.77,-10.2562,1574695.7,16482005.03,1,114.76,-11.77,-10.2562,0,100000.0
20250910,2025-09-10,688981.SH,103.0,105.96,102.13,103.91,3.8299999999999983,4.732710788851679,4.780221883001768,119.22,88.19,False,False,False,,0,0,0.0,97563.88925034937,SELL,2N stop loss,2025-09-09,2025-09-10,102.94850000000001,14726.053605689347,14.726053605689348,7.3667101579236345,97563.88925034937,-0.0002117377624955008,120489.33209647496,0.00893290610738906,-0.02436110749650633,smic_a,smic,A-share,SSE,CNY,103.0,105.96,102.13,103.91,102.99,0.92,0.8933000000000001,1039925.7,10822524.036,1,102.99,0.92,0.8933,0,100000.0
20250911,2025-09-11,688981.SH,102.62,112.8,99.98,110.28,12.819999999999993,5.137075249409095,4.732710788851679,119.22,88.19,False,False,False,,0,0,0.0,97563.88925034937,HOLD,,,,,0.0,0.0,0.0,97563.88925034937,0.0,127875.69573283859,0.06130305071696651,-0.02436110749650633,smic_a,smic,A-share,SSE,CNY,102.62,112.8,99.98,110.28,103.91,6.37,6.1303,1467501.66,15776091.423,1,103.91,6.37,6.1303,0,100000.0
20250912,2025-09-12,688981.SH,109.28,112.49,108.01,108.42,4.47999999999999,5.1042214869386395,5.137075249409095,119.22,90.8,False,False,False,,0,0,0.0,97563.88925034937,HOLD,,,,,0.0,0.0,0.0,97563.88925034937,0.0,125718.92393320966,-0.01686615886833509,-0.02436110749650633,smic_a,smic,A-share,SSE,CNY,109.28,112.49,108.01,108.42,110.28,-1.86,-1.6866,1159022.04,12730296.246,1,110.28,-1.86,-1.6866,0,100000.0
20250915,2025-09-15,688981.SH,110.55,112.55,107.5,108.66,5.049999999999997,5.101510412591708,5.1042214869386395,119.22,92.42,False,False,False,,0,0,0.0,97563.88925034937,HOLD,,,,,0.0,0.0,0.0,97563.88925034937,0.0,125997.21706864565,0.0022136137244050946,-0.02436110749650633,smic_a,smic,A-share,SSE,CNY,110.55,112.55,107.5,108.66,108.42,0.24,0.2214,946836.18,10395575.384,1,108.42,0.24,0.2214,0,100000.0
20250916,2025-09-16,688981.SH,109.0,111.86,108.09,109.78,3.769999999999996,5.034934891962122,5.101510412591708,119.22,99.98,False,False,False,,0,0,0.0,97563.88925034937,HOLD,,,,,0.0,0.0,0.0,97563.88925034937,0.0,127295.91836734695,0.010307380820909318,-0.02436110749650633,smic_a,smic,A-share,SSE,CNY,109.0,111.86,108.09,109.78,108.66,1.12,1.0307,866259.24,9501062.259,1,108.66,1.12,1.0307,0,100000.0
