trade_date,date,ts_code,qfq_open,qfq_high,qfq_low,qfq_close,tr,n_20,n_for_signal,entry_high_20,exit_low_10,breakout_long,exit_long,stop_long,stop_price,target_units,position_units,shares,cash,trade_action,trade_reason,signal_date,execution_date,execution_price,trade_value,fee,slippage_cost,portfolio_value,strategy_return,benchmark_value,benchmark_return,drawdown,instrument_key,company_key,market,exchange,currency,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_pre_close,qfq_change,qfq_pct_chg,signal,running_max
20250703,2025-07-03,00981.HK,43.65,44.65,43.15,43.3,1.5,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,smic_h,smic,HK-share,HKEX,HKD,43.65,44.65,43.15,43.3,43.3,0.0,0.0,78532958,,1,43.3,0.0,0.0,0,100000.0
20250704,2025-07-04,00981.HK,43.1,44.8,41.5,43.95,3.299999999999997,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,smic_h,smic,HK-share,HKEX,HKD,43.1,44.8,41.5,43.95,43.3,0.65,1.5012,124680391,,1,43.3,0.65,1.5012,0,100000.0
20250707,2025-07-07,00981.HK,44.3,45.0,43.7,44.3,1.2999999999999972,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,smic_h,smic,HK-share,HKEX,HKD,44.3,45.0,43.7,44.3,43.95,0.35,0.7964,58889473,,1,43.95,0.35,0.7964,0,100000.0
20250708,2025-07-08,00981.HK,44.65,45.9,44.45,45.65,1.6000000000000014,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,smic_h,smic,HK-share,HKEX,HKD,44.65,45.9,44.45,45.65,44.3,1.35,3.0474,68833165,,1,44.3,1.35,3.0474,0,100000.0
20250709,2025-07-09,00981.HK,45.65,45.7,44.4,44.65,1.3000000000000043,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,smic_h,smic,HK-share,HKEX,HKD,45.65,45.7,44.4,44.65,45.65,-1.0,-2.1906,48918407,,1,45.65,-1.0,-2.1906,0,100000.0
20250710,2025-07-10,00981.HK,44.75,45.4,44.5,44.95,0.8999999999999986,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,smic_h,smic,HK-share,HKEX,HKD,44.75,45.4,44.5,44.95,44.65,0.3,0.6719,39808214,,1,44.65,0.3,0.6719,0,100000.0
20250711,2025-07-11,00981.HK,44.75,46.85,44.75,45.95,2.1000000000000014,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,smic_h,smic,HK-share,HKEX,HKD,44.75,46.85,44.75,45.95,44.95,1.0,2.2247,83344868,,1,44.95,1.0,2.2247,0,100000.0
20250714,2025-07-14,00981.HK,46.2,47.0,45.7,46.45,1.2999999999999972,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,smic_h,smic,HK-share,HKEX,HKD,46.2,47.0,45.7,46.45,45.95,0.5,1.0881,54314874,,1,45.95,0.5,1.0881,0,100000.0
20250715,2025-07-15,00981.HK,46.4,47.1,44.9,45.6,2.200000000000003,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,smic_h,smic,HK-share,HKEX,HKD,46.4,47.1,44.9,45.6,46.45,-0.85,-1.8299,92558441,,1,46.45,-0.85,-1.8299,0,100000.0
20250716,2025-07-16,00981.HK,45.35,46.45,44.55,45.4,1.9000000000000057,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,smic_h,smic,HK-share,HKEX,HKD,45.35,46.45,44.55,45.4,45.6,-0.2,-0.4386,58314723,,1,45.6,-0.2,-0.4386,0,100000.0
