task_type,dataset,symbol,algorithm,model,metric,value,n_samples
regression,validation,00981.HK,线性回归,linear_regression,RMSE,0.03551716925583822,486
regression,validation,00981.HK,线性回归,linear_regression,MAE,0.022948687304202364,486
regression,validation,00981.HK,线性回归,linear_regression,R2,-0.036996785543576216,486
regression,test,00981.HK,线性回归,linear_regression,RMSE,0.045503752804133865,366
regression,test,00981.HK,线性回归,linear_regression,MAE,0.033612029451239527,366
regression,test,00981.HK,线性回归,linear_regression,R2,-0.41076378834921456,366
regression,validation,00981.HK,决策树,decision_tree_regressor,RMSE,0.04672340801167175,486
regression,validation,00981.HK,决策树,decision_tree_regressor,MAE,0.027539461938678723,486
regression,validation,00981.HK,决策树,decision_tree_regressor,R2,-0.7946086052655639,486
regression,test,00981.HK,决策树,decision_tree_regressor,RMSE,0.25373201109097465,366
regression,test,00981.HK,决策树,decision_tree_regressor,MAE,0.24931584205113214,366
regression,test,00981.HK,决策树,decision_tree_regressor,R2,-42.86421849311313,366
regression,validation,00981.HK,随机森林,random_forest_regressor,RMSE,0.0356310226843019,486
regression,validation,00981.HK,随机森林,random_forest_regressor,MAE,0.02341982118821483,486
regression,validation,00981.HK,随机森林,random_forest_regressor,R2,-0.04365581140313002,486
regression,test,00981.HK,随机森林,random_forest_regressor,RMSE,0.2042597326820544,366
regression,test,00981.HK,随机森林,random_forest_regressor,MAE,0.19900007195973823,366
regression,test,00981.HK,随机森林,random_forest_regressor,R2,-27.426630939409524,366
regression,validation,00981.HK,KNN,knn_regressor,RMSE,0.03805335647608984,486
regression,validation,00981.HK,KNN,knn_regressor,MAE,0.025219331012118294,486
regression,validation,00981.HK,KNN,knn_regressor,R2,-0.19038284475195955,486
regression,test,00981.HK,KNN,knn_regressor,RMSE,0.047246253307754386,366
regression,test,00981.HK,KNN,knn_regressor,MAE,0.035516432539186765,366
regression,test,00981.HK,KNN,knn_regressor,R2,-0.5208788514304046,366
classification,validation,00981.HK,逻辑回归,logistic_regression,Accuracy,0.5390946502057613,486
classification,validation,00981.HK,逻辑回归,logistic_regression,Precision,0.5,486
classification,validation,00981.HK,逻辑回归,logistic_regression,Recall,0.19196428571428573,486
classification,validation,00981.HK,逻辑回归,logistic_regression,F1,0.27741935483870966,486
classification,validation,00981.HK,逻辑回归,logistic_regression,AUC,0.5292564067611778,486
classification,test,00981.HK,逻辑回归,logistic_regression,Accuracy,0.4781420765027322,366
classification,test,00981.HK,逻辑回归,logistic_regression,Precision,1.0,366
classification,test,00981.HK,逻辑回归,logistic_regression,Recall,0.005208333333333333,366
classification,test,00981.HK,逻辑回归,logistic_regression,F1,0.010362694300518135,366
classification,test,00981.HK,逻辑回归,logistic_regression,AUC,0.5534901819923371,366
classification,validation,00981.HK,决策树,decision_tree_classifier,Accuracy,0.5288065843621399,486
classification,validation,00981.HK,决策树,decision_tree_classifier,Precision,0.49146757679180886,486
classification,validation,00981.HK,决策树,decision_tree_classifier,Recall,0.6428571428571429,486
classification,validation,00981.HK,决策树,decision_tree_classifier,F1,0.5570599613152805,486
classification,validation,00981.HK,决策树,decision_tree_classifier,AUC,0.5180530943293348,486
classification,test,00981.HK,决策树,decision_tree_classifier,Accuracy,0.4808743169398907,366
classification,test,00981.HK,决策树,decision_tree_classifier,Precision,0.5161290322580645,366
classification,test,00981.HK,决策树,decision_tree_classifier,Recall,0.16666666666666666,366
classification,test,00981.HK,决策树,decision_tree_classifier,F1,0.25196850393700787,366
classification,test,00981.HK,决策树,decision_tree_classifier,AUC,0.5088900862068966,366
classification,validation,00981.HK,随机森林,random_forest_classifier,Accuracy,0.5041152263374485,486
classification,validation,00981.HK,随机森林,random_forest_classifier,Precision,0.4564102564102564,486
classification,validation,00981.HK,随机森林,random_forest_classifier,Recall,0.39732142857142855,486
classification,validation,00981.HK,随机森林,random_forest_classifier,F1,0.42482100238663484,486
classification,validation,00981.HK,随机森林,random_forest_classifier,AUC,0.5143129770992366,486
classification,test,00981.HK,随机森林,random_forest_classifier,Accuracy,0.5109289617486339,366
classification,test,00981.HK,随机森林,random_forest_classifier,Precision,0.8095238095238095,366
classification,test,00981.HK,随机森林,random_forest_classifier,Recall,0.08854166666666667,366
classification,test,00981.HK,随机森林,random_forest_classifier,F1,0.1596244131455399,366
classification,test,00981.HK,随机森林,random_forest_classifier,AUC,0.5035021551724138,366
classification,validation,00981.HK,KNN,knn_classifier,Accuracy,0.5349794238683128,486
classification,validation,00981.HK,KNN,knn_classifier,Precision,0.495,486
classification,validation,00981.HK,KNN,knn_classifier,Recall,0.4419642857142857,486
classification,validation,00981.HK,KNN,knn_classifier,F1,0.4669811320754717,486
classification,validation,00981.HK,KNN,knn_classifier,AUC,0.5551901581243184,486
classification,test,00981.HK,KNN,knn_classifier,Accuracy,0.4918032786885246,366
classification,test,00981.HK,KNN,knn_classifier,Precision,0.5833333333333334,366
classification,test,00981.HK,KNN,knn_classifier,Recall,0.109375,366
classification,test,00981.HK,KNN,knn_classifier,F1,0.18421052631578946,366
classification,test,00981.HK,KNN,knn_classifier,AUC,0.47355423850574707,366
regression,validation,01211.HK,线性回归,linear_regression,RMSE,0.0226123253724975,488
regression,validation,01211.HK,线性回归,linear_regression,MAE,0.01698899418710689,488
regression,validation,01211.HK,线性回归,linear_regression,R2,-0.027803875422305335,488
regression,test,01211.HK,线性回归,linear_regression,RMSE,0.02857059656539247,366
regression,test,01211.HK,线性回归,linear_regression,MAE,0.021073400032680215,366
regression,test,01211.HK,线性回归,linear_regression,R2,-0.03999434996464246,366
regression,validation,01211.HK,决策树,decision_tree_regressor,RMSE,0.026556243648504146,488
regression,validation,01211.HK,决策树,decision_tree_regressor,MAE,0.018444537167284624,488
regression,validation,01211.HK,决策树,decision_tree_regressor,R2,-0.4175979877952183,488
regression,test,01211.HK,决策树,decision_tree_regressor,RMSE,0.0721190921223378,366
regression,test,01211.HK,决策树,decision_tree_regressor,MAE,0.05418311212108094,366
regression,test,01211.HK,决策树,decision_tree_regressor,R2,-5.626632166913254,366
regression,validation,01211.HK,随机森林,random_forest_regressor,RMSE,0.022745327917329295,488
regression,validation,01211.HK,随机森林,random_forest_regressor,MAE,0.017147404911124348,488
regression,validation,01211.HK,随机森林,random_forest_regressor,R2,-0.03993023177812072,488
regression,test,01211.HK,随机森林,random_forest_regressor,RMSE,0.04686760673081065,366
regression,test,01211.HK,随机森林,random_forest_regressor,MAE,0.038047153619245794,366
regression,test,01211.HK,随机森林,random_forest_regressor,R2,-1.7985812273556063,366
regression,validation,01211.HK,KNN,knn_regressor,RMSE,0.025887056611866837,488
regression,validation,01211.HK,KNN,knn_regressor,MAE,0.02059186134612093,488
regression,validation,01211.HK,KNN,knn_regressor,R2,-0.347054434349817,488
regression,test,01211.HK,KNN,knn_regressor,RMSE,0.029097683273866377,366
regression,test,01211.HK,KNN,knn_regressor,MAE,0.021370513091708353,366
regression,test,01211.HK,KNN,knn_regressor,R2,-0.07872113318119212,366
classification,validation,01211.HK,逻辑回归,logistic_regression,Accuracy,0.4918032786885246,488
classification,validation,01211.HK,逻辑回归,logistic_regression,Precision,0.42857142857142855,488
classification,validation,01211.HK,逻辑回归,logistic_regression,Recall,0.024390243902439025,488
classification,validation,01211.HK,逻辑回归,logistic_regression,F1,0.046153846153846156,488
classification,validation,01211.HK,逻辑回归,logistic_regression,AUC,0.5081972720553652,488
classification,test,01211.HK,逻辑回归,logistic_regression,Accuracy,0.5,366
classification,test,01211.HK,逻辑回归,logistic_regression,Precision,0.4117647058823529,366
classification,test,01211.HK,逻辑回归,logistic_regression,Recall,0.16374269005847952,366
classification,test,01211.HK,逻辑回归,logistic_regression,F1,0.23430962343096234,366
classification,test,01211.HK,逻辑回归,logistic_regression,AUC,0.4181136602189233,366
classification,validation,01211.HK,决策树,decision_tree_classifier,Accuracy,0.48155737704918034,488
classification,validation,01211.HK,决策树,decision_tree_classifier,Precision,0.4882154882154882,488
classification,validation,01211.HK,决策树,decision_tree_classifier,Recall,0.5894308943089431,488
classification,validation,01211.HK,决策树,decision_tree_classifier,F1,0.5340699815837937,488
classification,validation,01211.HK,决策树,decision_tree_classifier,AUC,0.46935261707988984,488
classification,test,01211.HK,决策树,decision_tree_classifier,Accuracy,0.4890710382513661,366
classification,test,01211.HK,决策树,decision_tree_classifier,Precision,0.43548387096774194,366
classification,test,01211.HK,决策树,decision_tree_classifier,Recall,0.3157894736842105,366
classification,test,01211.HK,决策树,decision_tree_classifier,F1,0.36610169491525424,366
classification,test,01211.HK,决策树,decision_tree_classifier,AUC,0.4786324786324786,366
classification,validation,01211.HK,随机森林,random_forest_classifier,Accuracy,0.48770491803278687,488
classification,validation,01211.HK,随机森林,random_forest_classifier,Precision,0.45652173913043476,488
classification,validation,01211.HK,随机森林,random_forest_classifier,Recall,0.08536585365853659,488
classification,validation,01211.HK,随机森林,random_forest_classifier,F1,0.14383561643835616,488
classification,validation,01211.HK,随机森林,random_forest_classifier,AUC,0.531327689309951,488
classification,test,01211.HK,随机森林,random_forest_classifier,Accuracy,0.5355191256830601,366
classification,test,01211.HK,随机森林,random_forest_classifier,Precision,0.5217391304347826,366
classification,test,01211.HK,随机森林,random_forest_classifier,Recall,0.07017543859649122,366
classification,test,01211.HK,随机森林,random_forest_classifier,F1,0.12371134020618557,366
classification,test,01211.HK,随机森林,random_forest_classifier,AUC,0.5022342180236917,366
classification,validation,01211.HK,KNN,knn_classifier,Accuracy,0.48360655737704916,488
classification,validation,01211.HK,KNN,knn_classifier,Precision,0.47115384615384615,488
classification,validation,01211.HK,KNN,knn_classifier,Recall,0.1991869918699187,488
classification,validation,01211.HK,KNN,knn_classifier,F1,0.28,488
classification,validation,01211.HK,KNN,knn_classifier,AUC,0.47114157091984143,488
classification,test,01211.HK,KNN,knn_classifier,Accuracy,0.5601092896174863,366
classification,test,01211.HK,KNN,knn_classifier,Precision,0.55,366
classification,test,01211.HK,KNN,knn_classifier,Recall,0.3216374269005848,366
classification,test,01211.HK,KNN,knn_classifier,F1,0.4059040590405904,366
classification,test,01211.HK,KNN,knn_classifier,AUC,0.5193282351177088,366
regression,validation,688981.SH,线性回归,linear_regression,RMSE,0.040725117534720946,484
regression,validation,688981.SH,线性回归,linear_regression,MAE,0.024078325914162868,484
regression,validation,688981.SH,线性回归,linear_regression,R2,-0.7734622765827646,484
regression,test,688981.SH,线性回归,linear_regression,RMSE,0.04198434048302108,360
regression,test,688981.SH,线性回归,linear_regression,MAE,0.02823684378064725,360
regression,test,688981.SH,线性回归,linear_regression,R2,-0.7308097464682388,360
regression,validation,688981.SH,决策树,decision_tree_regressor,RMSE,0.045373524396255666,484
regression,validation,688981.SH,决策树,decision_tree_regressor,MAE,0.02825922932830439,484
regression,validation,688981.SH,决策树,decision_tree_regressor,R2,-1.2014168747560787,484
regression,test,688981.SH,决策树,decision_tree_regressor,RMSE,0.03980478621193561,360
regression,test,688981.SH,决策树,decision_tree_regressor,MAE,0.027701711658183466,360
regression,test,688981.SH,决策树,decision_tree_regressor,R2,-0.5557694985352954,360
regression,validation,688981.SH,随机森林,random_forest_regressor,RMSE,0.03381880053273299,484
regression,validation,688981.SH,随机森林,random_forest_regressor,MAE,0.020877531605955582,484
regression,validation,688981.SH,随机森林,random_forest_regressor,R2,-0.22296397079381203,484
regression,test,688981.SH,随机森林,random_forest_regressor,RMSE,0.03530367549654111,360
regression,test,688981.SH,随机森林,random_forest_regressor,MAE,0.025211247380554063,360
regression,test,688981.SH,随机森林,random_forest_regressor,R2,-0.22381143369067957,360
regression,validation,688981.SH,KNN,knn_regressor,RMSE,0.03274059057172786,484
regression,validation,688981.SH,KNN,knn_regressor,MAE,0.020388710590488184,484
regression,validation,688981.SH,KNN,knn_regressor,R2,-0.14622606512076852,484
regression,test,688981.SH,KNN,knn_regressor,RMSE,0.0356587969188538,360
regression,test,688981.SH,KNN,knn_regressor,MAE,0.0247274128292141,360
regression,test,688981.SH,KNN,knn_regressor,R2,-0.24855602419802936,360
classification,validation,688981.SH,逻辑回归,logistic_regression,Accuracy,0.512396694214876,484
classification,validation,688981.SH,逻辑回归,logistic_regression,Precision,0.525974025974026,484
classification,validation,688981.SH,逻辑回归,logistic_regression,Recall,0.3319672131147541,484
classification,validation,688981.SH,逻辑回归,logistic_regression,F1,0.40703517587939697,484
classification,validation,688981.SH,逻辑回归,logistic_regression,AUC,0.5182547814207651,484
classification,test,688981.SH,逻辑回归,logistic_regression,Accuracy,0.5444444444444444,360
classification,test,688981.SH,逻辑回归,logistic_regression,Precision,0.54,360
classification,test,688981.SH,逻辑回归,logistic_regression,Recall,0.4602272727272727,360
classification,test,688981.SH,逻辑回归,logistic_regression,F1,0.49693251533742333,360
classification,test,688981.SH,逻辑回归,logistic_regression,AUC,0.5570034584980237,360
classification,validation,688981.SH,决策树,decision_tree_classifier,Accuracy,0.5578512396694215,484
classification,validation,688981.SH,决策树,decision_tree_classifier,Precision,0.5728155339805825,484
classification,validation,688981.SH,决策树,decision_tree_classifier,Recall,0.48360655737704916,484
classification,validation,688981.SH,决策树,decision_tree_classifier,F1,0.5244444444444445,484
classification,validation,688981.SH,决策树,decision_tree_classifier,AUC,0.5787995218579235,484
classification,test,688981.SH,决策树,decision_tree_classifier,Accuracy,0.5194444444444445,360
classification,test,688981.SH,决策树,decision_tree_classifier,Precision,0.5087719298245614,360
classification,test,688981.SH,决策树,decision_tree_classifier,Recall,0.4943181818181818,360
classification,test,688981.SH,决策树,decision_tree_classifier,F1,0.5014409221902018,360
classification,test,688981.SH,决策树,decision_tree_classifier,AUC,0.5191761363636364,360
classification,validation,688981.SH,随机森林,random_forest_classifier,Accuracy,0.5144628099173554,484
classification,validation,688981.SH,随机森林,random_forest_classifier,Precision,0.5238095238095238,484
classification,validation,688981.SH,随机森林,random_forest_classifier,Recall,0.4057377049180328,484
classification,validation,688981.SH,随机森林,random_forest_classifier,F1,0.45727482678983833,484
classification,validation,688981.SH,随机森林,random_forest_classifier,AUC,0.5175034153005464,484
classification,test,688981.SH,随机森林,random_forest_classifier,Accuracy,0.5416666666666666,360
classification,test,688981.SH,随机森林,random_forest_classifier,Precision,0.5632183908045977,360
classification,test,688981.SH,随机森林,random_forest_classifier,Recall,0.2784090909090909,360
classification,test,688981.SH,随机森林,random_forest_classifier,F1,0.3726235741444867,360
classification,test,688981.SH,随机森林,random_forest_classifier,AUC,0.5590106225296443,360
classification,validation,688981.SH,KNN,knn_classifier,Accuracy,0.506198347107438,484
classification,validation,688981.SH,KNN,knn_classifier,Precision,0.5125628140703518,484
classification,validation,688981.SH,KNN,knn_classifier,Recall,0.4180327868852459,484
classification,validation,688981.SH,KNN,knn_classifier,F1,0.4604966139954853,484
classification,validation,688981.SH,KNN,knn_classifier,AUC,0.5340505464480874,484
classification,test,688981.SH,KNN,knn_classifier,Accuracy,0.48333333333333334,360
classification,test,688981.SH,KNN,knn_classifier,Precision,0.4791666666666667,360
classification,test,688981.SH,KNN,knn_classifier,Recall,0.6534090909090909,360
